id:INTEGER,publisher,genres,coop,name,timestamp:INTEGER,system,releaseDate,players,reviewRating,esrbRating,developer
182,Activision,Shooter,Yes,Call of Duty Black Ops,1289260800,Microsoft Xbox 360,11/9/10,null,0 / 10,Mature,Treyarch
183,Activision,"Action, Shooter",No,Call of Duty Black Ops II,1352764800,Microsoft Xbox 360,11/13/12,4,0 / 10,null,Treyarch
184,Activision,"Action, Shooter, Stealth",Yes,Call of Duty Ghosts,1383609600,Microsoft Xbox 360,11/5/13,4,10-May,Mature,Infinity Ward
185,Activision,Shooter,Yes,Call of Duty Modern Warfare 2,1257811200,Microsoft Xbox 360,11/10/09,4,0 / 10,Mature,Infinity Ward
186,Activision,Shooter,No,Call of Duty Modern Warfare 3,1320710400,Microsoft Xbox 360,11/8/11,4,10-May,Mature,Infinityward
187,null,null,No,Call of Duty World at War,1226361600,Microsoft Xbox 360,11/11/08,null,10-Jun,null,null
188,Ubisoft,Shooter,No,Call of Juarez,1181001600,Microsoft Xbox 360,6/5/07,4,0 / 10,Mature,null
189,null,null,No,Call of Juarez Bound in Blood,1246320000,Microsoft Xbox 360,6/30/09,null,0 / 10,Mature,null
190,null,null,No,Call of Juarez Cartel,1311033600,Microsoft Xbox 360,7/19/11,null,0 / 10,Mature,null
191,null,Shooter,No,Call of Juarez Gunslinger,1369180800,Microsoft Xbox 360,5/22/13,null,0 / 10,null,null
192,Capcom,"Action, Adventure, Fighting, Platform, Puzzle, Shooter",Yes,Capcom Digital Collection,1332806400,Microsoft Xbox 360,3/27/12,2,0 / 10,Teen,Capcom
193,Sega,Action,No,Captain America Super Soldier,1310688000,Microsoft Xbox 360,7/15/11,2,0 / 10,Teen,Next Level Games
194,Sierra Online,"Puzzle, Strategy",No,Carcassonne,1182902400,Microsoft Xbox 360,6/27/07,4,0 / 10,Everyone,Sierra Online
195,null,null,No,Carmageddon Reincarnation,1385856000,Microsoft Xbox 360,12/1/13,null,0 / 10,null,null
196,null,Action,No,Carnival Games Monkey See Monkey Do,1301961600,Microsoft Xbox 360,4/5/11,null,0 / 10,Everyone,null
197,null,Strategy,No,Carrier Command Gaea Mission,1356652800,Microsoft Xbox 360,12/28/12,null,0 / 10,null,null
198,null,null,No,Cars,1162771200,Microsoft Xbox 360,11/6/06,null,0 / 10,Everyone,null
199,null,Racing,No,Cars 2,1308614400,Microsoft Xbox 360,6/21/11,null,0 / 10,null,null
200,Crave,Fighting,No,Cartoon Network Punch Time Explosion XL,1321574400,Microsoft Xbox 360,11/18/11,null,0 / 10,Everyone 10+,Papaya Studios
201,Microsoft Game Studios,"Action, Adventure",Yes,Castle Crashers,1219795200,Microsoft Xbox 360,8/27/08,4,0 / 10,Everyone,The Behemoth
202,Konami,"Action, Adventure",No,Castlevania Lords of Shadow â€“ Mirror of Fate HD,1382659200,Microsoft Xbox 360,10/25/13,null,0 / 10,null,Mercury Steam
203,null,null,No,Castlevania Harmony of Despair,1280880000,Microsoft Xbox 360,8/4/10,null,0 / 10,Teen,null
204,Konami,"Action, Adventure, Horror, Role-Playing",No,Castlevania Lords of Shadow,1286236800,Microsoft Xbox 360,10/5/10,1,10-Jun,Mature,Mercurysteam
