date,local_time,latitude,longitude,location,magnitude_ml,epicentre
2015-04-26,02:08:00,28.25,85.83,POINT(85.83 28.25),4,Rasuwa
2015-05-26,14:11:00,27.84,86.24,POINT(86.24 27.84),4.3,Dolakha
2015-04-26,01:56:00,27.93,85.56,POINT(85.56 27.93),4.4,Sindhupalchowk
2015-04-26,01:52:00,28.14,84.71,POINT(84.71 28.14),4.2,Gorkha
2015-04-26,01:49:00,28.05,85.35,POINT(85.35 28.05),4,Rasuwa
2015-04-26,01:29:00,27.93,85.56,POINT(85.56 27.93),4.1,Sindhupalchowk
2015-04-26,00:43:00,27.71,85.43,POINT(85.43 27.71),4.6,Kathmandu
2015-04-26,00:14:00,27.94,85.55,POINT(85.55 27.94),4.1,Sindhupalchowk
2015-04-25,23:46:00,27.78,85.98,POINT(85.98 27.78),4.1,Sindhupalchowk
2015-04-25,23:40:00,28.1,85.27,POINT(85.27 28.1),4,Rasuwa
2015-04-25,23:27:00,28.34,85.91,POINT(85.91 28.34),5.6,Tibet
2015-04-25,23:25:00,27.78,85.17,POINT(85.17 27.78),4,Nuwakot
2015-05-25,22:16:00,27.74,86.19,POINT(86.19 27.74),4.4,Dolakha
2015-04-25,23:24:00,27.9,85.53,POINT(85.53 27.9),4,Sindhupalchowk
2015-04-25,23:19:00,27.77,85.83,POINT(85.83 27.77),4.1,Sindhupalchowk
2015-04-25,22:31:00,27.8,85.29,POINT(85.29 27.8),4,Nuwakot
2015-04-25,22:12:00,27.92,85.64,POINT(85.64 27.92),5.3,Sindhupalchowk
2015-04-25,21:02:00,27.95,85.56,POINT(85.56 27.95),4.2,Sindhupalchowk
2015-04-25,20:36:00,28.14,85.16,POINT(85.16 28.14),4.4,Rasuwa
2015-04-25,20:25:00,27.73,85.9,POINT(85.9 27.73),5,Sindhupalchowk
2015-04-25,20:21:00,27.6,86.09,POINT(86.09 27.6),4.5,Dolakha
2015-04-25,20:08:00,28.05,85.25,POINT(85.25 28.05),4.1,Rasuwa
2015-04-25,19:55:00,27.73,85.9,POINT(85.9 27.73),4.7,Sindhupalchowk
2015-05-25,11:00:00,27.71,86.07,POINT(86.07 27.71),4.1,Dolakha
2015-04-25,19:47:00,27.68,85.32,POINT(85.32 27.68),4.1,Kathmandu
2015-04-25,19:38:00,27.79,85.16,POINT(85.16 27.79),4.1,Nuwakot
2015-04-25,19:21:00,27.69,86.02,POINT(86.02 27.69),4.9,Dolakha
2015-04-25,19:15:00,28.1,85.2,POINT(85.2 28.1),4.7,Rasuwa
2015-04-25,18:29:00,84.71,28.16,POINT(28.16 84.71),5.5,Gorkha
